date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,grade,edge_pct,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-15,Minnesota Timberwolves @ Oklahoma City Thunder,SPREAD,Timberwolves +8.5,8.5,Minnesota Timberwolves -2.6,5.9,FanDuel,1.91,0.5,Pending,0,,B,5.9,—,—,—,—
2026-03-15,Minnesota Timberwolves @ Oklahoma City Thunder,TOTAL,UNDER 226.0,226.0,219.8,6.2,FanDuel,1.91,0.5,Pending,0,,B,6.2,—,—,—,—
2026-03-15,Dallas Mavericks @ Cleveland Cavaliers,SPREAD,Mavericks +15.5,15.5,Dallas Mavericks -6.5,9.0,FanDuel,1.91,0.5,Pending,0,,B,9.0,—,—,—,—
2026-03-15,Dallas Mavericks @ Cleveland Cavaliers,TOTAL,UNDER 235.5,235.5,225.4,10.1,FanDuel,1.91,1.0,Pending,0,,A,10.1,—,—,—,—
2026-03-15,Detroit Pistons @ Toronto Raptors,SPREAD,Raptors +4.0,4.0,Toronto Raptors -0.7,4.7,BetOnline.ag,1.91,0.0,Pending,0,,C,4.7,—,—,—,—
2026-03-15,Detroit Pistons @ Toronto Raptors,TOTAL,OVER 223.5,223.5,226.8,3.3,BetOnline.ag,1.91,0.0,Pending,0,,C,3.3,—,—,—,—
2026-03-15,Indiana Pacers @ Milwaukee Bucks,TOTAL,OVER 227.5,227.5,231.6,4.1,Caesars,1.91,0.0,Pending,0,,C,4.1,—,—,—,—
2026-03-15,Portland Trail Blazers @ Philadelphia 76ers,SPREAD,76ers +8.5,8.5,Philadelphia 76ers -5.1,13.6,Caesars,1.91,1.0,Pending,0,,A,13.6,—,—,—,—
2026-03-15,Portland Trail Blazers @ Philadelphia 76ers,TOTAL,UNDER 229.0,229.0,220.5,8.5,Caesars,1.91,0.5,Pending,0,,B,8.5,—,—,—,—
2026-03-15,Golden State Warriors @ New York Knicks,SPREAD,Warriors +14.0,14.0,Golden State Warriors -4.6,9.4,Caesars,1.91,0.5,Pending,0,,B,9.4,—,—,—,—
2026-03-15,Golden State Warriors @ New York Knicks,TOTAL,OVER 218.5,218.5,221.9,3.4,Caesars,1.91,0.0,Pending,0,,C,3.4,—,—,—,—
2026-03-15,Utah Jazz @ Sacramento Kings,SPREAD,Jazz +3.0,3.0,Utah Jazz -5.9,8.9,Bovada,1.91,0.5,Pending,0,,B,8.9,—,—,—,—
2026-03-15,Utah Jazz @ Sacramento Kings,TOTAL,UNDER 233.5,233.5,227.2,6.3,Bovada,1.91,0.5,Pending,0,,B,6.3,—,—,—,—
